1408c,0549b,0,1,1,0,0,2,0,2,1,0,1,0,2,2,3,3,4,2,0
1343a,1520c,2,0,1,0,2,1,0,0,2,2,1,1,3,1,2,0,1,2,0
1352b,1149a,2,1,1,3,2,2,2,1,2,1,1,1,0,2,3,1,1,2,0
1329b,0556a,1,1,1,3,2,2,3,0,2,2,1,1,1,0,2,0,4,1,0
1039c,1240b,2,4,1,0,2,2,3,1,2,1,1,1,1,0,1,0,3,2,0
0520a,0358b,2,4,1,0,2,1,3,3,2,0,2,1,0,1,2,1,2,2,0
0445c,0888c,2,4,1,3,0,2,0,4,2,0,1,1,0,0,2,1,1,1,0
0938b,1350c,2,1,0,2,2,1,1,2,2,1,4,1,3,0,1,2,1,1,0
1475a,0380a,1,1,0,0,2,2,1,2,2,1,4,1,3,2,2,3,1,2,0
1490b,1221a,1,0,1,3,2,1,0,2,2,3,4,1,0,2,2,2,1,2,0
1368b,0537b,3,1,1,1,2,2,3,4,2,2,1,0,3,0,2,1,4,2,0
1468a,1465b,1,1,1,2,2,2,0,0,2,0,1,1,1,2,1,1,2,2,0
1451a,1421b,1,4,1,3,2,2,0,4,2,3,1,1,3,2,2,2,2,1,0
0322b,0547c,1,1,1,3,1,2,0,1,2,1,2,1,3,2,1,2,1,1,0
0522b,0488c,2,1,0,2,2,2,0,4,2,1,4,0,1,2,2,0,4,2,0
0456a,1377a,2,1,0,2,2,2,0,3,2,2,2,1,3,0,3,0,2,2,0
1178a,0355a,3,4,1,3,0,2,0,3,2,3,2,1,3,2,3,0,3,2,0
0334a,0440b,2,0,1,0,2,3,0,0,2,2,1,1,2,0,2,1,0,1,0
0571b,0381a,0,1,1,0,2,2,0,0,2,1,0,1,3,2,2,0,3,2,0
1335b,0489b,2,2,1,0,2,2,3,2,2,1,0,1,0,2,3,3,4,2,0
1413a,0337b,2,1,1,1,2,3,0,1,2,3,4,1,3,2,2,3,4,2,0
1497c,1197a,2,0,1,3,2,2,3,4,2,1,4,1,3,0,2,1,0,2,0
1245c,0330a,1,0,1,3,2,2,1,4,2,1,0,1,1,2,2,2,1,1,0
1303c,0927c,3,4,1,0,2,2,0,4,2,2,1,0,2,2,1,0,1,2,0
0564c,0401b,0,1,1,1,1,1,0,3,2,2,0,2,3,2,3,3,2,2,0
0544b,0355a,2,1,1,3,2,3,0,0,2,3,2,1,3,2,3,0,3,2,0
0521a,0924a,2,1,1,1,2,1,3,0,2,2,2,1,3,1,2,1,2,2,0
0331a,1198b,3,1,0,0,2,2,3,2,2,1,0,1,3,2,0,2,2,1,0
1409b,0327b,1,1,1,3,2,3,3,1,2,0,1,1,1,1,2,0,3,2,0
0363b,1308c,1,1,1,1,2,1,0,1,1,0,1,2,4,2,2,0,3,2,0
